K,channel,doppler,delay_ms,esn0_dB,frames,BER
1,awgn,0,0,-11,40,0
1,poor,1.0,2.0,-11,40,0.000297619
1,pooredge,2.0,2.0,-11,40,0
1,awgn,0,0,-12,40,0
1,poor,1.0,2.0,-12,40,0.00952381
1,pooredge,2.0,2.0,-12,40,0
1,awgn,0,0,-13,40,0.0327381
1,poor,1.0,2.0,-13,40,0.0422619
1,pooredge,2.0,2.0,-13,40,0.04375
1,awgn,0,0,-14,40,0.265774
1,poor,1.0,2.0,-14,40,0.207143
1,pooredge,2.0,2.0,-14,40,0.208036
2,awgn,0,0,-14,40,0
2,poor,1.0,2.0,-14,40,0
2,pooredge,2.0,2.0,-14,40,0
2,awgn,0,0,-15,40,0
2,poor,1.0,2.0,-15,40,0.00595238
2,pooredge,2.0,2.0,-15,40,0
2,awgn,0,0,-16,40,0.00208333
2,poor,1.0,2.0,-16,40,0.0443452
2,pooredge,2.0,2.0,-16,40,0.01875
2,awgn,0,0,-17,40,0.20119
2,poor,1.0,2.0,-17,40,0.188095
2,pooredge,2.0,2.0,-17,40,0.18631
4,awgn,0,0,-18,40,0
4,poor,1.0,2.0,-18,40,0
4,pooredge,2.0,2.0,-18,40,0
4,awgn,0,0,-19,40,0.00446429
4,poor,1.0,2.0,-19,40,0
4,pooredge,2.0,2.0,-19,40,0
4,awgn,0,0,-20,40,0.13125
4,poor,1.0,2.0,-20,40,0.162202
4,pooredge,2.0,2.0,-20,40,0.180357
4,awgn,0,0,-21,40,0.325893
4,poor,1.0,2.0,-21,40,0.310714
4,pooredge,2.0,2.0,-21,40,0.324107
8,awgn,0,0,-20,40,0
8,poor,1.0,2.0,-20,40,0
8,pooredge,2.0,2.0,-20,40,
8,awgn,0,0,-21,40,
