cut,esn0,seeds,cw_decoded,cw_total,frac_decoded
off,14.0,8,0,48,0.0000
off,14.5,8,0,48,0.0000
off,15.0,8,17,48,0.3542
off,15.5,8,45,48,0.9375
off,16.0,8,48,48,1.0000
off,16.5,8,48,48,1.0000
15,14.0,8,0,48,0.0000
15,14.5,8,0,48,0.0000
15,15.0,8,17,48,0.3542
15,15.5,8,45,48,0.9375
15,16.0,8,48,48,1.0000
15,16.5,8,48,48,1.0000
13,14.0,8,0,48,0.0000
13,14.5,8,0,48,0.0000
13,15.0,8,17,48,0.3542
13,15.5,8,45,48,0.9375
13,16.0,8,48,48,1.0000
13,16.5,8,48,48,1.0000
10,14.0,8,0,48,0.0000
10,14.5,8,0,48,0.0000
10,15.0,8,17,48,0.3542
10,15.5,8,45,48,0.9375
10,16.0,8,48,48,1.0000
10,16.5,8,48,48,1.0000
7,14.0,8,0,48,0.0000
7,14.5,8,0,48,0.0000
7,15.0,8,12,48,0.2500
7,15.5,8,41,48,0.8542
7,16.0,8,48,48,1.0000
7,16.5,8,48,48,1.0000
